单词,音标,释义,词根
convinced,/kən'vɪnst/,adj. 确信的，信服的,-vinc- = -vict-
unconvinced,"/,ʌnkən'vɪnst/",adj. 不信服的；怀疑的,-vinc- = -vict-
convincing,/kən'vɪnsɪŋ/,adj. 令人信服的；有说服力的,-vinc- = -vict-
unconvincing,/ʌnkən'vɪnsɪŋ/,adj. 不足以令人相信的,-vinc- = -vict-
convincingly,/kən'vɪnsɪŋli/,adv. 令人信服地；有说服力地,-vinc- = -vict-
unconvincingly,/ʌnkən'vɪnsɪŋli/,adv. 缺乏说服力地；无法令人信服地,-vinc- = -vict-
convict,/kən'vɪkt/,n. 囚犯 vt. 证明…有罪；宣告…有罪,-vinc- = -vict-
ex-convict,"/,eks'kɔnvikt/",n. 从前曾被判刑的人；[法] 前科犯,-vinc- = -vict-
post-conviction,/pəust-kən'vɪkʃ(ə)n/,n. 定罪后救济,-vinc- = -vict-
evict,/ɪ'vɪkt/,vt. 驱逐；逐出,-vinc- = -vict-
eviction,/ɪ'vɪkʃ(ə)n/,n. 逐出；赶出；收回,-vinc- = -vict-
evicted,/ɪ'vɪktid/,adj. 被驱逐的,-vinc- = -vict-
evince,/ɪ'vɪns/,vt. 表明，表示；引起,-vinc- = -vict-
vincible,/'vɪnsɪb(ə)l/,adj. 可征服的，易克服的,-vinc- = -vict-
invincible,/ɪn'vɪnsɪb(ə)l/,adj. 无敌的；不能征服的,-vinc- = -vict-
invincibility,"/ɪn,vɪnsə'bɪləti/",n. 无敌；不可战胜,-vinc- = -vict-
vincristine,/vɪn'krɪstiːn/,n. [药] 长春新碱（一种抗肿瘤药）,-vinc- = -vict-
form,/fɔːm/,vi. 形成 n. 表格,-form-
formation,/fɔː'meɪʃ(ə)n/,n. 阵型，编队，队形,-form-
star-formation,/stɑː-fɔː'meɪʃ(ə)n/,n. 星形队形,-form-
formative,/'fɔːmətɪv/,adj. 形成的；造型的,-form-
formal,/'fɔːm(ə)l/,adj. 正式的,-form-
formally,/'fɔːməlɪ/,adv. 正式地；形式上,-form-
informal,/ɪn'fɔːm(ə)l/,adj. 非正式的,-form-
informally,/in'fɔ:məli/,adv. 非正式地；不拘礼节地,-form-
formalize,/'fɔːm(ə)laɪz/,vt. 使形式化；使正式,-form-
formality,/fɔ'mæləti/,n. 礼节；拘谨；仪式,-form-
life-form,/laɪf-fɔːm/,n. 生物,-form-
formalism,/'fɔːm(ə)lɪz(ə)m/,n. 形式主义；形式体系,-form-
formalized,/'fɔːm(ə)laɪzd/,adj. 形式化的；正式的,-form-
waveform,/'wevfɔrm/,n. [物][电子] 波形,-form-
malformation,/mælfɔː'meɪʃ(ə)n/,n. 畸形；变形,-form-
informality,"/,ɪnfɔː'mælɪtɪ/",n. 非正式；不拘礼节,-form-
formless,/'fɔːmlɪs/,adj. 没有形状的；无定形的；形体不明的,-form-
free-form,/'fri:fɔ:m/,adj. 自由形态的,-form-
unformed,/ʌn'fɔːmd/,adj. 未成形的；未充分发展的,-form-
landform,/'læn(d)fɔːm/,n. [地理] 地形,-form-
form-fitting,/fɔːm- 'fɪtɪŋ/,adj. 适体的，合身的,-form-
star-forming,/stɑː-'fɔːmɪŋ/,n. 产星,-form-
malformed,"/,mæl'fɔrmd/",adj. 畸形的，难看的,-form-
forme,/fɔ:m/,n. [印刷] 印版,-form-
nonformal,/nɒn-'fɔːm(ə)l/,adj. 非正式的,-form-
formed,/fɔ:md/,adj. 成形的，成形,-form-
well-formed,/'wel'fɔ:md/,adj. 身材苗条的；结构良好的；符合语法规则的,-form-
formalization,"/,fɔməlɪ'zeʃən/",n. 形式化；礼仪化,-form-
formalistic,"/,fɔrml'ɪstɪk/",adj. 形式主义的，呆板的,-form-
forming,/'fɔːmɪŋ/,n. 形成,-form-
semiformal,"/,semɪ'fɔːməl/",adj. 半正式的,-form-
habit-forming,"/'hæbit,fɔ:miŋ/",adj. （尤指药物毒品等）易上瘾的；易成习惯的,-form-
formalist,/fɔ:'mælist/,n. 拘泥形式的人；形式主义者 adj. 形式主义的；死板的,-form-
formlessness,/'fɔːmlɪsnis/,n. 无形assume formlessness 无招胜有招,-form-
long-form,/lɒŋ-fɔːm/,n. 详细格式 [计] 长格式,-form-
newly-formed,/'njuːlɪ-fɔ:md/,adj. 成形的，成形,-form-
anti-reform,/ˈæntɪ-rɪ'fɔːm/,adj. 反传统形式的,-form-
multiform,/'mʌltɪfɔːm/,adj. 多样的；多种形式的,-form-
informal-sector,/ɪn'fɔːm(ə)l-'sektə/,n. 非正式部门,-form-
smog-forming,/smɒg-'fɔːmɪŋ/,adj. 形成烟雾的,-form-
cuneiform,/'kjuːnɪfɔːm/,adj. 楔形的；楔形文字的；楔状骨的 n. 楔形文字；楔状骨,-form-
cruciform,/'kruːsɪfɔːm/,adj. 十字形的；十字架状的 n. 十字形,-form-
spongiform,/'spʌndʒɪfɔrm/,adj. 海绵状组织的,-form-
half-formed,/hɑːf-fɔ:md/,adj. 半成型的,-form-
short-form,/ʃɔːt-fɔːm/,n. 简易格式,-form-
piriform,"/'pirə,fɔ:m/",adj. 梨形的,-form-
inform,/ɪn'fɔːm/,vt. 通知；告诉；报告,-form-
informed,/ɪn'fɔːmd/,adj. 消息灵通的；见多识广的,-form-
uninformed,/ʌnɪn'fɔːmd/,adj. 无知的；未被通知的,-form-
informant,/ɪn'fɔːmənt/,n. 告密者；提供消息者,-form-
informer,/ɪn'fɔːmə/,n. 告密者；通知者,-form-
information,/ɪnfə'meɪʃ(ə)n/,n. 信息,-form-
informative,/ɪn'fɔːmətɪv/,adj. 情报的,-form-
informational,"/,ɪnfɚ'meʃənəl/",adj. 情报的；报告的,-form-
bioinformatician,/baɪ'ɒɪnfə'mətiʃ(ə)n/,n. 生物信息学（研究）者,-form-
disinformation,"/,dɪsɪnfə'meɪʃ(ə)n/",n. 故意的假情报；虚假信息,-form-
well-informed,/'welin'fɔ:md/,adj. 消息灵通的；见多识广的；熟悉的；博学的,-form-
misinform,/mɪsɪn'fɔːm/,vt. 误传；提供错误消息,-form-
misinformed,/mɪsɪn'fɔːm/,vt. 误传；提供错误消息,-form-
misinformation,"/,mɪsɪnfə'meʃən/",n. 误报；错误的消息,-form-
informing,/ɪn'fɔrm/,adj. 增长见闻的；提供情报的；鼓舞的,-form-
information-based,/ɪnfə'meɪʃ(ə)n-beɪst/,adj. 信息化的；以信息为基础的,-form-
information-gathering,/ɪnfə'meɪʃ(ə)n-'gæð (ə)rɪŋ/,n. 信息收（搜）集；情报收集,-form-
uninformative,/ʌnɪn'fɔːmətɪv/,adj. 不提供信息的；不增长见闻的,-form-
informatics,"/,ɪnfə'mætɪks/",n. [图情][计] 信息学；情报学（复数用作单数）,-form-
information-rich,/ɪnfə'meɪʃ(ə)n-rɪtʃ/,adj. 信息丰富的,-form-
information-age,/ɪnfə'meɪʃ(ə)n-eɪdʒ/,n. 信息时代,-form-
bioinformatics,"/,baɪəʊ,ɪnfə'mætɪks/",n. 生物信息学；生物资讯,-form-
better-informed,/'betə-ɪn'fɔːmd/,adj. 消息灵通的，更明智的,-form-
information-sharing,/ɪnfə'meɪʃ(ə)n-'ʃɛrɪŋ/,n. 信息共享；资讯分享,-form-
informed-consent,/ɪn'fɔːmd-kən'sent/,n. 知情同意，知会同意；知后同意,-form-
best-informed,/best-ɪn'fɔːmd/,adj. 消息灵通的,-form-
informativeness,/ɪn'fɔːmətɪvnis/,n. 信息量；忠实度,-form-
information-processing,/ɪnfə'meɪʃ(ə)n-prəˈsesɪŋ/,n. 信息处理；信息加工；情报整理,-form-
information-technology,/ɪnfə'meɪʃ(ə)n-tek'nɒlədʒɪ/,n. [计][通信] 信息技术,-form-
ill-informed,/ɪl-ɪn'fɔːmd/,adj. 所知不多的；消息不灵通的,-form-
perform,/pə'fɔːm/,vt. 执行；完成；演奏 vi. 执行，机器运转；表演,-form-
performance,/pə'fɔːm(ə)ns/,n. 表演,-form-
performative,/pə'fɔːmətɪv/,adj. 表述行为的 n. 述行成分，述行语,-form-
performer,/pə'fɔːmə(r)/,n. 表演者,-form-
performing,/pə'fɔːmɪŋ/,adj. 表演的；履行的,-form-
preformed,/'pri:'fɔ:md/,adj. 预成型的，预制成的,-form-
outperform,/aʊtpə'fɔːm/,vt. 胜过；做得比……好,-form-
high-performance,"/,haɪ'pɚ'fɔrməns/",adj. 高性能的；高效能的,-form-
high-performing,/haɪ-pə'fɔːmɪŋ/,n. 高绩效；高性能,-form-
performance-enhancing,/pə'fɔːm(ə)ns-ɪn'hɑːnsɪŋ/,adj. 增强性能的,-form-
performance-based,/pə'fɔːm(ə)ns-beɪst/,adj. 绩效为基础的,-form-
best-performing,/[best-pə'fɔːmɪŋ/,n. 表现最好的,-form-
performance-oriented,/pə'fɔːm(ə)ns-'orɪɛntɪd/,以绩效为导向；绩效导向；绩效型,-form-
performance-related,/pə'fɔːm(ə)ns- rɪ'leɪtɪd/,adj. 性能相关的；绩效相关的,-form-
pay-for-performance,/peɪ-fɔ:(r)-pə'fɔːm(ə)ns/,n. 绩效薪酬,-form-
performativity,/pə'fɔːmətɪviti/,n. 表演性,-form-
underperforming,"/,ʌndɚpɚ'fɔrming/",vt. （股票等）运作差于（一般市场价格）,-form-
underperformance,"/,ʌndəpə'fɔ:m(ə)ns/",n. 新股弱势；新股偏弱现象,-form-
non-performing,/nʌn-pə'fɔːmɪŋ/,adj. 不履约,-form-
worst-performing,/wə:st-pə'fɔːmɪŋ/,adj. 表现最差的,-form-
pre-performance,/priː-pə'fɔːm(ə)ns/,n. 性能；绩效；表演；执行；表现,-form-
nonperformance,"/,nɒnpə'fɔːməns/",n. 不履行，不实行,-form-
post-performance,/pəust-pə'fɔːm(ə)ns/,n. 岗位绩效,-form-
poor-performing,/pʊə-pə'fɔːmɪŋ/,adj. 劣质的,-form-
low-performing,/ləʊ-pə'fɔːmɪŋ/,adj. 薄弱的；低效率的,-form-
top-performing,/tɒp-pə'fɔːmɪŋ/,adj. 表现最好的；顶级表演的,-form-
formula,/'fɔːmjʊlə/,n. 法则；原则；数学公式,-form-
formulate,/'fɔːmjʊleɪt/,vt. 规划；用公式表示,-form-
formulation,/fɔːmjʊ'leɪʃn/,n. 构想，规划；公式化,-form-
formulated,/'fɔːmjʊleɪtid/,adj. 按配方制造的,-form-
formulaic,"/,fɔːmjʊ'leɪɪk/",adj. 公式化的；刻板的；套话堆砌的,-form-
reformulate,"/,ri'fɔrmjulet/",vt. 再用形式表示,-form-
reformulated,/riːˈfɔːmjʊˌleɪtid/,adj. 再阐述,-form-
reformulation,"/,ri:fɔ:mju'leiʃən/",n. 再形成,-form-
formulary,/'fɔːmjʊlərɪ/,n. 公式集；处方一览表；套话 adj. 规定的；公式的；药方的,-form-
formula-fed,/'fɔːmjʊlə-fed/,n. 配制饲料；配合饲料,-form-
format,/'fɔːmæt/,n. （节目、计划等的）构成，安排 vt. 使格式化,-form-
reformat,"/,ri'fɔrmæt/",vt. 重定格式,-form-
formatting,/fɔː'meɪtɪŋ/,n. 格式化,-form-
large-format,/lɑːdʒ-'fɔːmæt/,n. 大篇幅,-form-
platform,/'plætfɔːm/,n. 平台,-form-
cross-platform,/krɒs-'plætfɔːm/,n. 跨平台,-form-
transform,/træns'fɔːm/,v. 转化，转变，使改变外观（或性质） ；使改变,-form-
transformation,/trænsfə'meɪʃ(ə)n/,n. 转型，彻底改观，变革,-form-
transformative,/trænz'fɔmətɪv/,adj. 变化的，变形的,-form-
transformer,/træns'fɔːmə/,n. [电] 变压器；促使变化的人,-form-
transformational,"/,trænzfə'meʃənəl/",adj. 转换的；改变的；转换生成的,-form-
log-transformed,/lɒg-træns'fɔːmd/,adj. 对数变换的,-form-
untransformed,/ʌn’træns'fɔːm/,adj. 未改变的,-form-
former,/'fɔːmə/,adj. 从前的，前者的；前任的 n. 模型，样板；起形成作用的人,-form-
formerly,/'fɔːməlɪ/,adv. 以前；原来,-form-
uniform,/'juːnɪfɔːm/,adj. 统一的；一致的 n. 制服 vt. 使穿制服；使成一样,-form-
uniformed,/'juːnɪfɔːmd/,adj. 穿着制服的,-form-
uniformity,/juːnɪ'fɔːmɪtɪ/,n. 均匀性；一致；同样,-form-
uniformly,/'ju:nɪfɔ:mlɪ/,adv. 一致地,-form-
uniformitarian,"/'juːnɪ,fɔːmɪ'teərɪən/",adj. 均变论的；均变说的 n. 均变论者,-form-
nonuniform,/nɔn'ju:nifɔ:m/,adj. 不均匀的；不一致的，不统一的,-form-
reform,/rɪ'fɔːm/,n. 改革，改良；改正 vt. 改革，革新；重新组成,-form-
reformer,/rɪ'fɔːmə/,n. 改革家；改革运动者,-form-
reformed,/rɪ'fɔːmd/,adj. 改革过的；新教的,-form-
reformist,/rɪ'fɔrmɪst/,n. 改革者；改革主义者 adj. 改良主义的；改良运动的,-form-
reforming,"/,rɪ'fɔrm/",n. 重整；改进；变换,-form-
reformation,/refə'meɪʃ(ə)n/,n. 革新；改善,-form-
reform-minded,/rɪ'fɔːm-'maɪndɪd/,adj. 决心改革的,-form-
counter-reformation,/['kauntə-refə'meɪʃ(ə)n/,n. 反宗教改革,-form-
pro-reform,/ˌprəʊrɪˈfɔːm/,adj. 支持改革的；尤指政治上,-form-
unreformed,/ʌn'rɪ'fɔːmd/,adj. 未经宗教改革的,-form-
reformism,/rɪ'fɔːmɪzəm/,n. 改良主义；改革主义,-form-
reformatory,/rɪ'fɔːmət(ə)rɪ/,adj. 改革的；感化的；革新的 n. 少年管教所；妓女教养所,-form-
welfare-reform,/'welfeə-rɪ'fɔːm/,n. 福利改革,-form-
health-reform,/'helθɪ-rɪ'fɔːm/,n. 卫生改革；医疗改革,-form-
conform,/kən'fɔːm/,vt. 使遵守；使一致,-form-
conformity,/kən'fɔːmɪtɪ/,n. 一致，适合；符合,-form-
conformation,/kɒnfɔː'meɪʃ(ə)n/,n. 构造；一致，符合；构象,-form-
conformist,/kən'fɔːmɪst/,n. 英国国教徒；遵奉者,-form-
nonconformity,/nɒnkən'fɔːmɪtɪ/,n. 不一致；不信奉国教；不墨守成规,-form-
nonconformist,/nɒnkən'fɔːmɪst/,n. 不顺从一般公认信念习惯的人；不属于圣公会的英国基督教徒,-form-
conformance,/kən'fɔːm(ə)ns/,n. 一致性；顺应,-form-
conformism,/kən'fɔːmɪzəm/,n. 因循守旧；盲从因袭的态度,-form-
non-conforming,/nɑnkən'fɔrmɪŋ/,adj. 非相容的,-form-
conformal,/kən'fɔːm(ə)l/,adj. [数] 保角的；共形的；正形的,-form-
deform,/dɪ'fɔːm/,vt. 使变形；使成畸形 vi. 变形；变畸形 adj. 畸形的；丑陋的,-form-
deformed,/dɪ'fɔːmd/,adj. 畸形的；丑陋的,-form-
deformity,/dɪ'fɔːmɪtɪ/,n. 畸形；畸形的人或物,-form-
deformation,"/,diːfɔː'meɪʃ(ə)n/",n. 变形,-form-
deformable,"/,di'fɔ:məbl/",adj. 可变形的,-form-
formidable,/'fɔːmɪdəb(ə)l/,adj. 强大的；可怕的,-form-
formidably,/'fɔ:midəbli/,adv. 强大地；难对付地；可怕地,-form-
formaldehyde,/fɔː'mældɪhaɪd/,n. 蚁醛，[有化] 甲醛；福尔马林,-form-
coliform,/'kɒlɪfɔːm/,adj. 像大肠菌的；筛状的 n. 大肠菌（等于 coliform bacillus）,-form-
total-coliform,/'təʊt(ə)l-'kɒlɪfɔːm/,n. 总大肠菌类,-form-
chloroform,/'klɔːrəfɔːm/,n. 氯仿；三氯甲烷 vt. 用氯仿麻醉,-form-
formalin,/'fɔrməlɪn/,n. [药] 福尔马林,-form-
fecal-coliform,/'fiːkəl-'kɒlɪfɔːm/,n. 粪便大肠菌,-form-
formica-topped,/fɔr'maɪkə-tɒpt/,adj. 福米加塑料贴面的,-form-
cribriform,/'krɪbrɪfɔːm/,adj. 有小孔的；[植][解剖] 筛状的,-form-
formic,/'fɔːmɪk/,adj. 甲酸的；蚁的；蚁酸的,-form-
cross-informant,/krɔs-ɪn'fɔːmənt/,pref. 横跨；相反；十字形,-form-
formant,/'fɔːm(ə)nt/,n. [电子] 共振峰，话音素,-form-
comprehend,/kɒmprɪ'hend/,vt. 理解；包含；由…组成,-prehend- = -prehens-
comprehension,/kɒmprɪ'henʃ(ə)n/,n. 理解；领悟,-prehend- = -prehens-
incomprehension,"/,ɪnkɒmprɪ'henʃ(ə)n/",n. 不了解；缺乏理解,-prehend- = -prehens-
comprehensive,/kɒmprɪ'hensɪv/,adj. 综合的；广泛的,-prehend- = -prehens-
comprehensible,/kɒmprɪ'hensɪb(ə)l/,adj. 可理解的,-prehend- = -prehens-
comprehensibility,"/,kɑmprɪ,hɛnsə'bɪləti/",n. 可了解性；能理解,-prehend- = -prehens-
incomprehensible,"/,ɪnkɒmprɪ'hensɪb(ə)l/",adj. 费解的；不可思议的；无限的,-prehend- = -prehens-
incomprehensibly,"/,ɪnkɑmprɪ'hɛnsəbli/",adv. 不能理解地；不可思议地,-prehend- = -prehens-
incomprehensibility,"/in,kɔm-prihensə'biləti/",n. 不可理解；不可知性；不可思议,-prehend- = -prehens-
comprehensively,"/,kɑmprɪ'hɛnsɪvli/",adv. 包括地；包括一切地,-prehend- = -prehens-
uncomprehending,"/,ʌnkɒmprɪ'hendɪŋ/",adj. 不了解的,-prehend- = -prehens-
uncomprehendingly,"/,ʌnkɒmprɪ'hendɪŋli/",adv. 琢磨不透地；不解地,-prehend- = -prehens-
comprehensiveness,"/,kɑmprɪ'hɛnsɪvnɪs/",n. 综合；详尽,-prehend- = -prehens-
apprehend,/æprɪ'hend/,vt. 理解；逮捕；忧虑,-prehend- = -prehens-
apprehension,/æprɪ'henʃ(ə)n/,n. 理解；恐惧；逮捕,-prehend- = -prehens-
apprehensible,/æprɪ'hensɪb(ə)l/,adj. 可理解的，可了解的,-prehend- = -prehens-
apprehensive,/æprɪ'hensɪv/,adj. 忧虑的；不安的；敏悟的,-prehend- = -prehens-
apprehensively,/ˌæprɪ'hensɪvlɪ/,adv. 担心地,-prehend- = -prehens-
misapprehend,"/,mɪsæprɪ'hend/",vt. 误会，误解,-prehend- = -prehens-
misapprehension,"/'mis,æpri'henʃən/",n. 误解；误会,-prehend- = -prehens-
misapprehensive,"/,mɪsæprɪ'hɛnsɪv/",adj. 误会的；误解的,-prehend- = -prehens-
misapprehensively,"/'mis,æpri'hensivli/",adv. 易产生误解地,-prehend- = -prehens-
prehensile,/prɪ'hensaɪl/,adj. 适于抓握的；善于领会的,-prehend- = -prehens-
prehension,/prɪ'henʃ(ə)n/,n. 理解；抓住,-prehend- = -prehens-
reprehend,"/,reprɪ'hend/",vt. 申斥；指责 n. 责备,-prehend- = -prehens-
reprehension,"/,reprɪ'henʃən/",n. 非难；指责,-prehend- = -prehens-
reprehensive,"/,repri'hensiv/",adj. 谴责的；非难的,-prehend- = -prehens-
reprehensible,"/,reprɪ'hensɪb(ə)l/",adj. 应斥责的；应该谴责的,-prehend- = -prehens-
reprehensibly,"/,rɛprɪ'hɛnsəbli/",adv. 应受责难地；应受斥责地,-prehend- = -prehens-
reprehensibility,"/,reprihensə'biləti/",n. 应受谴责性,-prehend- = -prehens-
structure,/'strʌktʃə/,n. 建筑物；结构；体系 vt. 组织；构成；建造；计划；组织，安排,-struct-
structured,/'strʌktʃəd/,adj. 有结构的；有组织的,-struct-
structural,/'strʌktʃ(ə)r(ə)l/,adj. 结构的；建筑的,-struct-
structurally,/'strʌktʃərəli/,adv. 在结构上,-struct-
structuralist,/'strʌktrərəlɪst/,n. 结构学派理论；构造主义者 adj. 结构语言学的；结构心理学的,-struct-
substructure,/'sʌbstrʌktʃə/,n. 基础；信念；底部构造,-struct-
superstructure,/'suːpəstrʌktʃə/,n. 上层建筑；上部构造,-struct-
structuring,/'strʌktʃɚ/,n. 结构化,-struct-
structuralism,/'strʌktʃ(ə)r(ə)lɪz(ə)m/,n. 结构主义；构造主义,-struct-
unstructured,/ʌn'strʌktʃəd/,adj. 无社会组织的；松散的；非正式组成的,-struct-
semi-structured,/'sem(a)i-'strʌktʃəd/,adj. 半结构化的,-struct-
poststructural,/pəʊst-'strʌktʃ(ə)r(ə)l/,n. 解构,-struct-
post-structuralist,/pəust'strʌktʃərəlizəm/,n. 后结构主义,-struct-
well-structured,/wel-'strʌktʃəd/,adj. 结构良好的,-struct-
non-structural,/nɔn-'strʌktʃ(ə)r(ə)l/,adj. 不用于结构上的,-struct-
fine-structure,/faɪn-'strʌktʃə/,adj. 精细结构的,-struct-
microstructure,"/'maɪkrə(ʊ),strʌktʃə/",n. 微观结构；[生物] 显微结构,-struct-
microstructural,/'maikrəu'strʌktʃərəl/,adj. 显微结构的,-struct-
macro-structure,/'mækrəu-'strʌktʃə/,n. 宏观结构,-struct-
nanostructure,/'nænə(ʊ)strʌktjʊə/,n. 纳米结构,-struct-
nanostructured,/'nænə(ʊ)strʌktjʊəd/,adj. 纳米结构的,-struct-
social-structural,/'səʊʃ(ə)l-'strʌktʃ(ə)r(ə)l/,adj. 结构的；建筑的,-struct-
instruct,/ɪn'strʌkt/,vt. 指导；通知；命令,-struct-
instructor,/ɪn'strʌktə/,n. 指导书；教员；指导者,-struct-
instruction,/ɪn'strʌkʃ(ə)n/,n.（常作复数）指示；说明,-struct-
instructive,/ɪn'strʌktɪv/,adj. 有益的；教育性的,-struct-
instructional,/ɪn'strʌkʃənəl/,adj. 教学的；指导的，教育的,-struct-
instructionally,/ɪn'strʌkʃənəli/,adv. 教学性地，指导性地,-struct-
self-instruction,/[self-ɪn'strʌkʃ(ə)n/,n. 自学；自我指导,-struct-
self-instructional,/'selfin'strʌkʃənəl/,adj. 自学的；适于自学的；用于自学的,-struct-
infrastructure,/'ɪnfrəstrʌktʃə/,n. 基础设施；公共建设；下部构造,-struct-
infrastructural,"/,ɪnfrə'strʌktʃərəl/",adj. 基础结构的；构造基底的,-struct-
construct,/kən'strʌkt/,vt. 建造，构造；创立 n. 构想，概念,-struct-
construction,/kən'strʌkʃ(ə)n/,n. 建造；建设；建筑；造句；解释,-struct-
constructionist,/kən'strʌkʃ(ə)nɪst/,n. 宪法解释者；构成派造型艺术家,-struct-
constructor,/kənˈstrʌktə(r)/,n. 构造函数；构造器；建造者,-struct-
constructive,/kən'strʌktɪv/,adj. 建设性的，有益的；推定的；构造上的,-struct-
constructivist,/kən'strʌktɪvɪst/,n. 构成主义者,-struct-
constructively,/kən'strʌktɪvli/,adv. 建设性地,-struct-
constructivism,/kən'strʌktɪvɪz(ə)m/,n. 构成主义；构成派,-struct-
construction-paper,/kən'strʌkʃ(ə)n-'peɪpə/,n. 图画用纸；建筑用纸；[纸] 工作用纸,-struct-
constructed-response,/kən'strʌkt-rɪ'spɒns/,n. 构答反应,-struct-
well-constructed,/wel-kənˈstrʌkt/,adj. 结构合理的；构建完好的,-struct-
reconstruction,/riːkən'strʌkʃn/,n. 再建，重建,-struct-
reconstructionist,"/,ri:kən'strʌkʃənist/",n. （美国内战后）重建主义,-struct-
reconstructed,"/,rɪkən'strʌkt/",adj. 重建的；改造的,-struct-
reconstructive,"/,rikən'strʌktɪv/",adj. 重建的；改造的,-struct-
unreconstructed,"/,ʌnriːkən'strʌktɪd/",adj. 旧思想的；脑筋转不过来的,-struct-
deconstruct,/'dikən'strʌkt/,vt. 解构；拆析,-struct-
deconstruction,"/,dikən'strʌkʃən/",n. 解构；拆析,-struct-
deconstructive,/dɪ'kən'strʌktɪv/,n. 解构主义,-struct-
deconstructed,/ˌdiːkənˈstrʌktɪd/,adj. 没有形式结构的,-struct-
deconstructionism,"/,dikən'strʌkʃənɪzm/",n. 解构主义,-struct-
restructure,/riː'strʌktʃə/,vt. 调整；重建；更改结构,-struct-
restructuring,/riː'strʌktʃərɪŋ/,n. 调整；改组；重建,-struct-
destruct,/dɪ'strʌkt/,vi. 自毁 n. 自毁,-struct-
destructor,/dɪ'strʌktə/,n. 破坏者；垃圾焚毁炉；爆炸装置,-struct-
destruction,/dɪ'strʌkʃ(ə)n/,n. 破坏，毁灭；摧毁,-struct-
destructive,/dɪ'strʌktɪv/,adj. 破坏的；毁灭性的,-struct-
destructively,/dɪ'strʌktɪvli/,adv. 破坏地；狼狈地,-struct-
destructiveness,/dɪs'trʌktɪvnɪs/,n. 破坏性；毁灭性；破坏能力,-struct-
destructible,/dɪ'strʌktɪb(ə)l/,adj. 可破坏的；易损坏的,-struct-
indestructible,/ɪndɪ'strʌktɪb(ə)l/,adj. 不可毁灭的，不能破坏的,-struct-
non-destructive,/nɔn-dɪ'strʌktɪv/,adj. 无损的；非破坏性,-struct-
self-destruct,/'selfdis'trʌkt/,vi. 自毁 adj 自毁的；自杀的,-struct-
self-destructive,"/,selfdi'strʌktiv/",adj. 自毁的；表现自杀欲望的,-struct-
self-destructing,/'selfdis'trʌktɪŋ/,adj. 自毁的；自杀的,-struct-
self-destructiveness,/'selfdɪs'trʌktɪvnɪs/,n. 破坏性；毁灭性；破坏能力,-struct-
obstruct,/əb'strʌkt/,vt. 妨碍；阻塞；遮断,-struct-
obstructed,/əb'strʌktid/,adj. 阻塞的；梗阻的，不通的,-struct-
obstruction,/əb'strʌkʃ(ə)n/,n. 障碍；阻碍；妨碍,-struct-
obstructionism,/əb'strʌkʃənɪzəm/,n. 蓄意阻挠,-struct-
obstructive,/əb'strʌktɪv/,adj. 阻碍的；妨碍的 n. 妨碍物；障碍物,-struct-
obstructionist,/əb'strʌkʃənɪst/,n. 妨碍者；蓄意阻挠者 adj. 阻挠议事的；蓄意阻挠的,-struct-
unobstructed,/ʌnəb'strʌktɪd/,adj. 没有障碍的；畅通无阻的,-struct-
method,/'meθəd/,n. 方法；条理,-od-
